Tratamiento	Wildtype	Sequia	ExcesoRiego
1	2.2	0.2	6.0
1	2.3	0.3	6.2
1	2.4	0.4	6.4
1	4.5	0.5	6.5
1	5.4	0.2	5.8
1	5.4	0.4	6.1
1	5.4	0.4	6.4
1	4.0	1.0	5.6
1	4.0	0.9	5.4
1	4.4	0.8	5.3
2	0.0	0.9	2.1
2	0.0	0.8	2.3
2	4.0	0.9	2.4
2	5.0	1.2	2.5
2	6.0	1.3	2.0
2	8.0	1.3	2.1
2	9.0	1.2	2.2
2	8.0	1.4	2.3
2	0.0	2.0	2.4
2	9.0	2.0	2.5
3	9.0	3.2	4.0
3	8.0	3.4	5.5
3	7.8	4.5	3.8
3	8.9	5.6	4.2
3	12.0	6.5	5.9	
3	2.0	5.4	8.4
3	12.0	4.5	8.6
3	11.0	6.4	8.7
3	14.0	6.7	8.8
3	3.0	6.9	8.9
4	45.0	9.0	16.0
4	54.0	9.8	12.3
4	46.0	9.8	12.4
4	56.0	9.8	15.9
4	76.0	9.9	15.7
4	54.0	9.0	19.0
4	54.0	7.0	20.5
4	34.0	8.0	18.5
4	45.0	9.0	17.3
4	44.0	6.0	20.3
5	22.0	6.8	12.1
5	33.0	9.0	12.0
5	33.0	9.0	10.5
5	33.0	9.0	11.3
5	33.0	9.89	12.4
5	33.0	9.90	13.3
5	32.0	6.90	11.1
5	32.0	9.90	15.5
5	43.0	9.99	16.6
5	55.0	9.80	17.7
6	66.0	70.0	21.4
6	70.0	85.0	28.9
6	40.5	30.0	31.3
6	55.0	70.0	35.8
6	33.0	45.0	38.8
